epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,204.37,1.82883,3.54331,1.09246,0.76462,0.10062,0.45223,0.22073,1.35091,3.17604,0.93037,0.000659176,0.000659176,0.000659176
2,404.705,1.59786,2.2904,1.02861,0.81988,0.53608,0.5745,0.32827,1.5222,2.17361,1.0095,0.00128209,0.00128209,0.00128209
3,606.916,1.52016,1.71702,1.00275,0.75896,0.6701,0.68364,0.39406,1.22835,1.77616,0.95202,0.001861,0.001861,0.001861
4,806.484,1.56207,1.56006,1.04965,0.77697,0.61058,0.65267,0.39983,1.19303,1.20536,0.95564,0.001802,0.001802,0.001802
5,1009.78,1.43213,1.24243,1.02994,0.91126,0.69072,0.74681,0.4123,1.20278,1.11194,0.94616,0.001736,0.001736,0.001736
6,1211.96,1.42577,1.14872,1.02293,0.84394,0.70103,0.74422,0.45911,1.08824,0.95517,0.92784,0.00167,0.00167,0.00167
7,1412.3,1.38835,1.08162,1.01747,0.90767,0.75258,0.78799,0.45185,1.08233,0.84442,0.9048,0.001604,0.001604,0.001604
8,1612.25,1.26993,0.96698,0.97657,0.8122,0.71337,0.75818,0.49923,0.98552,0.81891,0.87904,0.001538,0.001538,0.001538
9,1812.91,1.21339,0.92528,0.96438,0.8568,0.75258,0.78517,0.53644,0.92397,0.73485,0.89249,0.001472,0.001472,0.001472
10,2012.92,1.21656,0.89818,0.96219,0.81177,0.75584,0.77929,0.48886,0.93931,0.74878,0.88001,0.001406,0.001406,0.001406
11,2214.07,1.22392,0.8751,0.96315,0.95209,0.72165,0.78052,0.50018,0.98702,0.73758,0.89755,0.00134,0.00134,0.00134
12,2420.98,1.19442,0.83631,0.93455,0.92099,0.74227,0.78668,0.49481,0.91256,0.74166,0.88181,0.001274,0.001274,0.001274
